id,is_risk
25002,1.0
23653,1.0
23556,1.0
24052,1.0
24336,1.0
24985,1.0
24773,1.0
24945,1.0
23413,1.0
24284,1.0
24960,1.0
23347,0.8070997815483196
24917,0.7966360776715532
23356,0.7426138632169476
24545,0.7644490069816039
23760,0.7691981178949676
23684,0.7919608700555232
23910,0.8126701961517553
23643,0.804615428881782
23439,0.8087600599778149
24174,0.8116564662736282
23872,0.8166809443068139
23722,0.8118489427509902
24777,0.677956964335195
23784,0.7593168041455227
24904,0.7346212311122821
24202,0.773205199828019
23567,0.7848992474567411
24244,0.7912020520500785
24474,0.8153673323298977
23448,0.7744145430569429
23863,0.7709330295790611
24894,0.8035086594699792
24857,0.8105447288019754
24862,0.8073067052190576
24921,0.8145422052410544
23635,0.7918468435765612
24618,0.8100237846841413
24219,0.7892235001957001
24645,0.8070580214508594
24867,0.8068532234173975
24076,0.7862495193372739
24043,1.0
24781,1.0
23412,1.0
24779,1.0
24359,1.0
23535,1.0
24335,1.0
23867,1.0
23569,1.0
23891,1.0
24275,1.0
24330,0.8105151616037846
24075,0.8083858212032581
24448,0.7544477703769752
23879,0.735540110119356
24218,0.8086865059176427
24782,0.8075106263940952
23441,0.7911120247442056
24071,0.7245740053804186
23541,0.8009688788080428
24289,0.8099865664634741
24034,0.8077561950609715
24274,0.8021533808258076
24299,0.8043185924491917
23559,0.7972145934517788
23764,0.7857253873215242
23999,0.8114146681127501
24791,0.8055498855604061
24391,0.7953117371694662
23516,0.7914729420648985
24070,0.8059847930730664
24847,0.8010696120818759
24403,1.0
24206,1.0
24200,1.0
24603,1.0
23749,1.0
23617,1.0
24629,1.0
24039,1.0
24967,1.0
24898,1.0
24412,1.0
23848,1.0
24631,1.0
24805,1.0
24394,1.0
23380,1.0
24137,1.0
23633,1.0
24192,0.8095329299534153
23828,0.795537432347652
23506,0.8045756412586182
24102,0.8074201295178423
24966,0.5524303165549186
24828,0.8075526210142282
23794,0.7945026401187061
24370,0.7939302947560058
23470,0.809992240444441
23862,0.7824026542508913
23942,0.8102778562092172
24978,0.6077640138152716
23997,0.7975765766590742
23595,0.7120222760952697
24498,0.797631588617247
24021,0.7948191309959777
24572,0.7911938367537095
24635,0.8129860635873785
25005,0.799473062050669
25010,0.796127793007569
24143,0.7859740179195368
24706,0.796839562333774
23972,0.8005582691613065
24979,0.8124658420842297
23399,0.785562233719282
23928,0.7915274421485143
23901,0.800235798266343
24365,0.794330884596102
23996,0.8106340429336847
24277,1.0
24592,1.0
24501,1.0
24454,1.0
23372,1.0
24691,1.0
24410,1.0
23365,1.0
24086,1.0
24897,1.0
23790,1.0
23511,1.0
23787,1.0
24094,1.0
23565,1.0
24140,1.0
23641,0.8013782078655053
23713,0.8096032648877273
24646,0.8079339836045826
24774,0.8032779564910276
23598,0.8087029201718229
23824,0.8049727977455816
23973,0.8019344929023096
24647,0.805896432901999
24232,0.7718596878975067
23742,0.7501547273812539
24286,0.8008943258954343
24197,0.8051221657204504
23353,0.8158741852005674
24480,0.805561875253803
23507,0.8109251644120041
23574,0.798075851668294
23437,0.812114537491045
24861,0.793571886420132
24676,0.7722502839081749
24353,0.8078842163191672
23435,1.0
24560,1.0
24630,1.0
24953,1.0
24715,1.0
24347,1.0
24007,1.0
24901,1.0
24065,1.0
24716,1.0
23622,1.0
23743,1.0
23780,1.0
24022,1.0
23845,1.0
23540,1.0
24069,0.7833643284403581
24613,0.8093805380405662
23788,0.8061886397156263
17685,0.12232212795926822
12975,0.19278978767859267
17887,0.06795664443274282
825,0.09181562137629921
2862,0.05488877074894348
9036,0.09853063735479288
11764,0.0902269927317609
10811,0.0777941054251516
7081,0.10068114481820471
13970,0.08234672538646556
17716,0.04433924284601808
241,0.050780644607603995
843,0.04614340719184419
17416,0.04474934361964887
9742,0.05081540030351567
15804,0.05256888503841015
15802,0.04488256166824957
3558,0.04516471381330651
1468,0.052467667814956064
11452,0.04498221820002944
1614,0.04638142815912185
13691,0.044073238971476844
2684,0.044782973113687834
4438,0.04516100884752783
6772,0.04410113362490127
14823,0.05345539626963909
7787,0.04563248727686752
18969,0.8039027639977714
15689,0.06122459534852104
17250,0.045560048139112866
16254,0.048615875797809974
17486,0.0469454806910297
11873,0.052840333514916016
19678,0.06493677336193669
19679,0.05314743076172004
19680,0.0535620430712072
19681,0.054355094955896875
19682,0.054960226883443396
19683,0.5994051190860538
19684,0.6025402792291368
5050,0.061689891430235136
