id,lgb_risk,tabnet_risk,is_risk
0,0.045417422821972406,0.2689258,0.1571173483542073
1,0.049607265053351016,0.26156503,0.1555346965724788
2,0.04564169777844314,0.16658767,0.10608532034440507
3,0.044227847145113505,0.2804329,0.16227303216029093
4,0.04797204958891606,0.21770959,0.1327996094920702
5,0.044735873052228356,0.26752535,0.15607651537038197
6,0.05269451494976646,0.19513646,0.12388090809450018
7,0.04493360649513388,0.22494063,0.13489342031488613
8,0.05608881473837035,0.19919372,0.12760652027454075
9,0.04965358812433211,0.27264655,0.1610959306149305
10,0.05335022696842946,0.26831824,0.1607820502021952
11,0.055402930617208856,0.29017633,0.1727326287052682
12,0.04692227680487334,0.23957439,0.14320156425750188
13,0.05390363826426346,0.28034216,0.167067932463993
14,0.04783598845776034,0.2790915,0.16340760532000795
15,0.04573264499181974,0.15488732,0.1002834811684598
16,0.04608936209039264,0.2908947,0.16843259707711175
17,0.07185017912602765,0.32403,0.1978788752419941
18,0.04716260982476887,0.2667548,0.15690539708441317
19,0.046460532194925776,0.27513486,0.16074218898298687
20,0.046389477028301145,0.2607214,0.15350339302628746
21,0.047793893141400715,0.18503097,0.1163791133722995
22,0.05268592881465619,0.26590848,0.15924544290809303
23,0.0451106259668618,0.1584755,0.10176554128856188
24,0.04475795813103412,0.25596815,0.15031178378564455
25,0.04452619574627563,0.26147,0.15294542349330054
26,0.04699324782777871,0.27223468,0.1595592848801654
27,0.04555173292051991,0.16416278,0.10482846423955579
28,0.04469900156580692,0.19695172,0.12078840048750751
29,0.04982713607113466,0.2795933,0.16465443415641648
30,0.04964530504393538,0.25586215,0.15270365520694248
31,0.048820106737757996,0.27380824,0.16125955171986134
32,0.044535430239363176,0.2697103,0.1570682023950264
33,0.05830036551401776,0.24725965,0.15273413025056004
34,0.05534070157097952,0.27021998,0.16272818169017927
35,0.04615354732537227,0.23239636,0.1392297446015175
36,0.04557785783783966,0.16951783,0.10751775178861624
37,0.05020743094371381,0.21471639,0.13242197488212132
38,0.04507300254869228,0.18527322,0.1151390720134402
39,0.04415407938411053,0.26097366,0.15251123024484092
40,0.044272743538358625,0.26064944,0.152408555903066
41,0.1734677759599656,0.2870833,0.23024795675096416
42,0.04433747501824936,0.20153801,0.1228995790060705
43,0.0516511174388795,0.5081541,0.27979179328281956
44,0.0436136929365555,0.23739152,0.14045556254286162
